
🎯 **Evaluation Metrics:**
✅ Accuracy: 0.2098
✅ Precision: 0.6502
✅ Recall: 0.2098
✅ F1-score: 0.1175

**Test Sample Predictions:**
🖼 Image: ./split_dataset/test/flood/images/hurricaneirma_2017-11-21_20-09-53.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_08-12-54.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_03-53-38.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-08-14_23-20-31.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destroyedbuilding_2017-02-26_09-21-51.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-05-23_12-03-49.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-10-02_04-57-24.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/buildingcollapse_2014-10-22_01-02-00.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_06-28-36.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/sandydamage_2012-10-30_17-30-37.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2016-11-18_13-41-09.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-09-26_08-30-00.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/sandydamage_2014-11-30_09-46-10.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destruction_2017-10-29_22-34-03.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/warsyria_2017-08-19_00-12-40.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/buildingcollapse_2016-12-04_02-19-58.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-01-04_09-06-59.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2016-12-23_07-11-20.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destroyedbuilding_2014-05-08_11-53-23.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/hurricanesandy_2017-10-28_20-26-48.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-04-21_02-24-23.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/buildingcollapse_2017-07-12_16-34-57.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/hurricanesandy_2017-10-25_21-08-00.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-07_21-51-15.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-14_06-42-38.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destroyedbuilding_2016-03-08_21-05-52.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_20-54-43.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/hurricanesandy_2017-10-30_02-58-12.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/buildingcollapse_2017-01-09_18-47-38.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-03-16_02-08-32.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/sandydamage_2014-12-02_10-05-57.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-14_08-25-18.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_18-51-08.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_18-57-27.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destroyedbuilding_2014-03-15_18-24-27.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/buildingcollapse_2014-03-13_19-18-13.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/sandydamage_2014-12-01_12-41-44.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_20-32-50.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-14_01-11-30.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-14_00-16-25.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/sandydamage_2014-12-06_09-21-41.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-03-13_22-40-10.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquakenepal_2017-10-12_15-00-23.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-05-30_21-27-38.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/disasters_2017-09-21_23-43-02.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-08-13_21-35-20.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-09-07_21-30-30.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-07_06-08-50.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/isiscrimes_2015-08-23_06-38-59.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/warsyria_2017-01-22_00-59-12.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_21-32-05.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2016-11-29_02-09-03.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-09-24_11-27-16.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destroyedbuilding_2017-03-27_19-29-09.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destroyedbuilding_2017-09-25_13-36-52.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-10-27_21-54-34.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/buildingcollapse_2016-08-07_09-44-58.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-05-26_18-15-42.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/sandydamage_2014-06-21_15-39-24.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destroyedbuilding_2016-11-09_14-26-26.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-07_12-23-54.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_19-05-11.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-02-14_05-25-33.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_07-12-15.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destroyedbuilding_2013-02-12_18-30-10.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-08-22_05-43-21.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-10-27_03-16-50.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/buildingcollapse_2016-08-07_11-30-02.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-14_07-43-56.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/warsyria_2017-08-17_12-25-37.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/buildingcollapse_2015-04-26_19-43-13.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/buildingcollapse_2016-12-09_00-52-40.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/hurricaneirma_2017-11-22_22-01-47.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/hurricaneirma_2017-11-18_18-21-43.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/buildingcollapse_2014-09-18_17-44-45.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-10-02_21-45-03.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_23-25-16.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2016-11-18_13-05-57.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/sandydamage_2012-11-18_12-41-33.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-02-12_16-59-16.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destroyedbuilding_2017-03-18_18-35-11.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-14_07-41-21.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/buildingcollapse_2015-02-25_22-20-01.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquakenepal_2017-01-25_06-15-27.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/hurricanematthew_2017-10-04_17-27-39.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/naturaldisaster_2017-10-25_02-14-19.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_21-12-31.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destruction_2017-10-28_01-06-24.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/sandydamage_2014-07-27_18-37-55.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/terrorattack_2017-10-31_22-57-22.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/sandydamage_2014-12-04_09-41-53.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destroyedbuilding_2016-11-30_16-31-42.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/yemencrisis_2017-03-28_13-42-08.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_19-46-44.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/sandydamage_2012-11-02_18-22-41.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/sandydamage_2014-12-06_11-21-48.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/earthquake_2017-11-13_07-12-00.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-03-05_18-17-12.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/destroyedbuilding_2014-10-05_12-28-07.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-02-12_17-36-43.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2016-11-28_03-00-32.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/wreckedcar_2017-05-30_22-18-34.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/damaged_infrastructure/images/buildingcollapse_2016-12-05_20-51-55.jpg | ✅ True: damaged_infrastructure | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-03_11-47-38.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-11-21_12-07-44.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2017-07-06_08-31-40.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-16_22-04-02.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/terrorattack_2017-10-02_18-36-28.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-07-25_13-05-23.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-21_05-20-04.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2016-03-31_18-31-20.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-16_22-00-33.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-13_05-42-23.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2014-08-14_13-05-18.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-16_00-40-50.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/earthquake_2017-11-14_02-21-05.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/victimsofwar_2016-12-01_20-20-54.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-13_21-48-39.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/terrorattack_2017-11-03_16-44-27.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2017-06-29_02-43-35.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-03_11-18-40.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-16_23-17-52.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/victimsofwar_2017-10-27_22-58-08.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/syriawarcrimes_2017-08-21_09-08-41.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-30_20-22-15.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-19_16-57-08.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-12-09_21-20-44.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2017-06-09_16-16-41.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-13_17-24-43.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2017-07-31_06-24-52.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-01_10-54-18.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-13_15-42-06.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-07-15_10-18-52.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2017-08-25_12-26-04.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/syriawarcrimes_2017-08-03_15-00-16.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-17_17-37-37.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2015-07-20_17-18-00.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/victimsofwar_2017-01-05_09-26-08.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2017-07-05_00-20-20.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-12-03_10-22-54.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-13_21-43-01.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/syriawarcrimes_2017-10-06_10-41-51.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2015-07-19_21-00-23.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-07-26_00-50-27.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-10-27_21-59-01.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-09-06_09-18-08.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2016-03-04_23-31-11.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2014-06-09_09-35-06.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-29_18-51-40.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-19_17-03-56.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-17_04-19-10.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-23_21-07-26.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/victimsofwar_2017-03-07_19-29-35.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/earthquake_2017-11-14_01-01-39.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-07-26_00-50-49.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-09_20-12-08.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-23_04-35-15.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2015-04-23_19-29-19.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-13_05-43-28.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-11-13_19-30-52.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-22_02-31-53.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-08_18-54-11.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-17_01-04-47.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/earthquake_2017-11-13_19-05-32.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-07-31_02-36-03.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-02_20-58-14.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-04-26_00-37-04.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-23_21-06-35.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/terrorattack_2017-10-02_13-13-23.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/syriawarcrimes_2017-08-09_13-29-22.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2016-02-13_02-40-54.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/earthquake_2017-11-13_18-50-46.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2017-02-01_21-18-28.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-07-26_12-15-50.jpg | ✅ True: human_damage | 🔍 Predicted: non_damage
